date,cal_holiday,weather_temp,weather_rain_1h,weather_snow_1h,weather_clouds_all,weather_main,weather_description,traffic_volume
2017-01-01 00:00:00,None,269.75,0,0,75,Clouds,broken clouds,1848
2017-01-01 01:00:00,None,269.95,0,0,1,Clear,sky is clear,1806
2017-01-01 02:00:00,None,269.75,0,0,1,Clear,sky is clear,1211
2017-01-01 03:00:00,None,269.65,0,0,40,Clouds,scattered clouds,794
2017-01-01 04:00:00,None,269.48,0,0,1,Clear,sky is clear,500
2017-01-01 05:00:00,None,269.22,0,0,1,Clear,sky is clear,513
2017-01-01 06:00:00,None,268.9,0,0,1,Clear,sky is clear,821
2017-01-01 07:00:00,None,268.34,0,0,40,Clouds,scattered clouds,950
2017-01-01 08:00:00,None,267.9,0,0,1,Clear,sky is clear,1284
2017-01-01 09:00:00,None,267.71,0,0,20,Clouds,few clouds,2279
2017-01-01 10:00:00,None,269.02,0,0,1,Clear,sky is clear,3592
2017-01-01 11:00:00,None,270.34,0,0,1,Clear,sky is clear,3500
2017-01-01 12:00:00,None,271.27,0,0,75,Clouds,broken clouds,3364
2017-01-01 13:00:00,None,271.46,0,0,90,Clouds,overcast clouds,3252
2017-01-01 14:00:00,None,271.9,0,0,75,Clouds,broken clouds,3431
2017-01-01 15:00:00,None,271.71,0,0,75,Clouds,broken clouds,3585
2017-01-01 16:00:00,None,271.59,0,0,40,Clouds,scattered clouds,3594
2017-01-01 17:00:00,None,271.09,0,0,1,Clear,sky is clear,3133
2017-01-01 18:00:00,None,270.53,0,0,75,Clouds,broken clouds,2955
2017-01-01 19:00:00,None,270.47,0,0,90,Clouds,overcast clouds,2412
2017-01-01 20:00:00,None,270.55,0,0,40,Clouds,scattered clouds,1981
2017-01-01 21:00:00,None,270.49,0,0,90,Clouds,overcast clouds,1777
2017-01-01 22:00:00,None,270.48,0,0,90,Clouds,overcast clouds,1438
2017-01-01 23:00:00,None,270.55,0,0,90,Snow,light snow,1043
2017-01-02 00:00:00,New Years Day,270.62,0,0,90,Snow,light snow,798
2017-01-02 01:00:00,None,270.55,0,0,90,Snow,light snow,522
2017-01-02 02:00:00,None,270.49,0,0,90,Snow,light snow,457
2017-01-02 03:00:00,None,270.42,0,0,90,Snow,light snow,363
2017-01-02 04:00:00,None,270.49,0,0,90,Clouds,overcast clouds,508
2017-01-02 05:00:00,None,270.49,0,0,90,Clouds,overcast clouds,849
2017-01-02 06:00:00,None,270.62,0,0,90,Clouds,overcast clouds,1562
2017-01-02 07:00:00,None,270.82,0,0,90,Clouds,overcast clouds,1792
2017-01-02 08:00:00,None,270.88,0,0,90,Clouds,overcast clouds,2014
2017-01-02 09:00:00,None,271.55,0,0,90,Clouds,overcast clouds,2401
2017-01-02 10:00:00,None,271.65,0,0,90,Snow,light snow,2832
2017-01-02 11:00:00,None,272.22,0,0,90,Snow,light snow,3470
2017-01-02 12:00:00,None,272.27,0,0,90,Snow,light snow,3732
2017-01-02 13:00:00,None,272.42,0,0,90,Snow,light snow,3750
2017-01-02 14:00:00,None,272.59,0,0,90,Snow,light snow,3933
2017-01-02 15:00:00,None,272.71,0,0,90,Haze,haze,3762
2017-01-02 16:00:00,None,272.71,0,0,90,Mist,mist,3563
2017-01-02 17:00:00,None,273.02,0,0,90,Mist,mist,3261
2017-01-02 18:00:00,None,273.02,0,0,90,Mist,mist,2875
2017-01-02 19:00:00,None,272.95,0,0,90,Mist,mist,2244
2017-01-02 20:00:00,None,272.95,0,0,90,Mist,mist,1785
2017-01-02 21:00:00,None,272.95,0,0,90,Mist,mist,1660
2017-01-02 22:00:00,None,272.95,0,0,90,Mist,mist,1226
2017-01-02 23:00:00,None,273.02,0,0,90,Mist,mist,827
2017-01-03 00:00:00,None,272.95,0,0,90,Mist,mist,716
2017-01-03 01:00:00,None,272.95,0,0,90,Mist,mist,485
2017-01-03 02:00:00,None,273.02,0,0,90,Mist,mist,400
2017-01-03 03:00:00,None,273.02,0,0,90,Mist,mist,483
2017-01-03 04:00:00,None,272.59,0,0,90,Mist,mist,944
2017-01-03 05:00:00,None,272.48,0,0,90,Mist,mist,2755
2017-01-03 06:00:00,None,272.08,0,0,90,Mist,mist,5107
2017-01-03 07:00:00,None,270.82,0,0,90,Clouds,overcast clouds,6065
2017-01-03 08:00:00,None,268.72,0,0,90,Clouds,overcast clouds,5338
2017-01-03 09:00:00,None,265.28,0,0,90,Snow,light snow,4555
2017-01-03 10:00:00,None,263.59,0,0,75,Snow,light snow,3979
2017-01-03 11:00:00,None,262.78,0,0,1,Snow,light snow,4008
2017-01-03 12:00:00,None,262.09,0,0,1,Snow,light snow,4317
2017-01-03 13:00:00,None,262.09,0,0,40,Clouds,scattered clouds,4377
2017-01-03 14:00:00,None,261.59,0,0,40,Haze,haze,4863
2017-01-03 15:00:00,None,261.21,0,0,1,Clear,sky is clear,5290
2017-01-03 16:00:00,None,261.03,0,0,1,Clear,sky is clear,6114
2017-01-03 17:00:00,None,260.42,0,0,1,Clear,sky is clear,5854
2017-01-03 18:00:00,None,259.65,0,0,5,Clear,sky is clear,4011
2017-01-03 19:00:00,None,259.09,0,0,5,Clear,sky is clear,2697
2017-01-03 20:00:00,None,258.34,0,0,5,Clear,sky is clear,2169
2017-01-03 21:00:00,None,257.84,0,0,5,Clear,sky is clear,2011
2017-01-03 22:00:00,None,257.22,0,0,1,Clear,sky is clear,1475
2017-01-03 23:00:00,None,256.9,0,0,1,Clear,sky is clear,915
2017-01-04 00:00:00,None,256.34,0,0,1,Clear,sky is clear,528
2017-01-04 01:00:00,None,255.9,0,0,1,Clear,sky is clear,324
2017-01-04 02:00:00,None,255.42,0,0,1,Clear,sky is clear,249
2017-01-04 03:00:00,None,254.84,0,0,1,Clear,sky is clear,308
2017-01-04 04:00:00,None,254.42,0,0,1,Clear,sky is clear,836
2017-01-04 05:00:00,None,253.72,0,0,1,Clear,sky is clear,2603
2017-01-04 06:00:00,None,253.22,0,0,1,Clear,sky is clear,5511
2017-01-04 07:00:00,None,252.72,0,0,1,Clear,sky is clear,5405
2017-01-04 08:00:00,None,252.08,0,0,20,Haze,haze,5626
2017-01-04 09:00:00,None,252.02,0,0,20,Snow,light snow,4667
2017-01-04 10:00:00,None,252.15,0,0,1,Haze,haze,4275
2017-01-04 11:00:00,None,253.03,0,0,1,Clear,sky is clear,4358
2017-01-04 12:00:00,None,254.28,0,0,1,Clear,sky is clear,4548
2017-01-04 13:00:00,None,255.42,0,0,1,Clear,sky is clear,4423
2017-01-04 14:00:00,None,256.15,0,0,5,Clear,sky is clear,4846
2017-01-04 15:00:00,None,256.78,0,0,5,Clear,sky is clear,5185
2017-01-04 16:00:00,None,256.84,0,0,1,Clear,sky is clear,6242
2017-01-04 17:00:00,None,256.53,0,0,1,Clear,sky is clear,6034
2017-01-04 18:00:00,None,255.72,0,0,75,Clouds,broken clouds,4238
2017-01-04 19:00:00,None,255.28,0,0,40,Clouds,scattered clouds,2861
2017-01-04 20:00:00,None,255.15,0,0,5,Clear,sky is clear,2370
2017-01-04 21:00:00,None,254.47,0,0,5,Clear,sky is clear,2421
2017-01-04 22:00:00,None,254.42,0,0,40,Clouds,scattered clouds,1569
2017-01-04 23:00:00,None,254.89,0,0,90,Snow,light snow,1037
2017-01-05 00:00:00,None,254.82,0,0,90,Haze,haze,543
2017-01-05 01:00:00,None,254.69,0,0,90,Snow,light snow,438
2017-01-05 02:00:00,None,254.49,0,0,90,Snow,light snow,366
2017-01-05 03:00:00,None,253.95,0,0,90,Haze,haze,386
2017-01-05 04:00:00,None,253.21,0,0,90,Haze,haze,782
2017-01-05 05:00:00,None,252.56,0,0,1,Snow,light snow,2555
2017-01-05 06:00:00,None,251.89,0,0,1,Haze,haze,5242
2017-01-05 07:00:00,None,251.29,0,0,1,Mist,mist,5807
2017-01-05 08:00:00,None,250.84,0,0,1,Mist,mist,6091
2017-01-05 09:00:00,None,250.8,0,0,5,Mist,mist,4885
2017-01-05 10:00:00,None,251.84,0,0,5,Mist,mist,4383
2017-01-05 11:00:00,None,252.95,0,0,1,Clear,sky is clear,4288
2017-01-05 12:00:00,None,254.55,0,0,1,Clear,sky is clear,4441
2017-01-05 13:00:00,None,255.48,0,0,40,Clouds,scattered clouds,4584
2017-01-05 14:00:00,None,255.78,0,0,75,Haze,haze,5088
2017-01-05 15:00:00,None,256.15,0,0,75,Haze,haze,5475
2017-01-05 16:00:00,None,255.84,0,0,40,Clouds,scattered clouds,6220
2017-01-05 17:00:00,None,255.28,0,0,40,Clouds,scattered clouds,5892
2017-01-05 18:00:00,None,254.59,0,0,40,Clouds,scattered clouds,4344
2017-01-05 19:00:00,None,254.03,0,0,40,Clouds,scattered clouds,3030
