date,value,GPD_per_capita,eu_prod_index
2014-01-01,1594771.57021124,52900.53742,96.9
2014-01-02,1082414.81384658,52900.53742,96.9
2014-01-03,1071807.29719851,52900.53742,96.9
2014-01-04,1189234.51062923,52900.53742,96.9
2014-01-05,1185445.24169669,52900.53742,96.9
2014-01-06,951906.012950376,52900.53742,96.9
2014-01-07,914993.495562902,52900.53742,96.9
2014-01-08,857426.050990836,52900.53742,96.9
2014-01-09,788643.341481966,52900.53742,96.9
2014-01-10,865114.625961921,52900.53742,96.9
2014-01-11,981349.322918894,52900.53742,96.9
2014-01-12,986851.902561914,52900.53742,96.9
2014-01-13,762728.866863458,52900.53742,96.9
2014-01-14,716678.832732533,52900.53742,96.9
2014-01-15,768733.719489546,52900.53742,96.9
2014-01-16,744050.901965113,52900.53742,96.9
2014-01-17,901330.461960688,52900.53742,96.9
2014-01-18,1043785.34931558,52900.53742,96.9
2014-01-19,1037622.49905046,52900.53742,96.9
2014-01-20,802308.789838346,52900.53742,96.9
2014-01-21,779600.641055811,52900.53742,96.9
2014-01-22,740286.639168419,52900.53742,96.9
2014-01-23,747474.067176814,52900.53742,96.9
2014-01-24,891153.433703277,52900.53742,96.9
2014-01-25,1011519.72852954,52900.53742,96.9
2014-01-26,982960.541339254,52900.53742,96.9
2014-01-27,786152.009858456,52900.53742,96.9
2014-01-28,823862.572141108,52900.53742,96.9
2014-01-29,744935.557240362,52900.53742,96.9
2014-01-30,760638.329177676,52900.53742,96.9
2014-01-31,903476.392510414,52900.53742,96.9
2014-02-01,1079241.59748464,52900.53742,97.6
2014-02-02,1032766.13977746,52900.53742,97.6
2014-02-03,820210.187533691,52900.53742,97.6
2014-02-04,768145.909831441,52900.53742,97.6
2014-02-05,786964.746322024,52900.53742,97.6
2014-02-06,822075.942046557,52900.53742,97.6
2014-02-07,924618.083534983,52900.53742,97.6
2014-02-08,1068610.23082765,52900.53742,97.6
2014-02-09,1037679.15551179,52900.53742,97.6
2014-02-10,812743.390893796,52900.53742,97.6
2014-02-11,803861.920308373,52900.53742,97.6
2014-02-12,781955.700800999,52900.53742,97.6
2014-02-13,786460.748315566,52900.53742,97.6
2014-02-14,909897.802916228,52900.53742,97.6
2014-02-15,968339.611955624,52900.53742,97.6
2014-02-16,1070670.42528891,52900.53742,97.6
2014-02-17,790330.646630846,52900.53742,97.6
2014-02-18,769054.172935961,52900.53742,97.6
2014-02-19,803578.019114733,52900.53742,97.6
2014-02-20,795999.860272105,52900.53742,97.6
2014-02-21,904118.312079839,52900.53742,97.6
2014-02-22,1073275.30929438,52900.53742,97.6
2014-02-23,989172.649518949,52900.53742,97.6
2014-02-24,834119.777793715,52900.53742,97.6
2014-02-25,801455.692790013,52900.53742,97.6
2014-02-26,832152.825602401,52900.53742,97.6
2014-02-27,781375.716227392,52900.53742,97.6
2014-02-28,919629.132237659,52900.53742,97.6
2014-03-01,1079578.35531474,52900.53742,97
2014-03-02,1074372.26354153,52900.53742,97
2014-03-03,802551.992122132,52900.53742,97
2014-03-04,837440.726001691,52900.53742,97
2014-03-05,757224.886741264,52900.53742,97
2014-03-06,821825.030939338,52900.53742,97
2014-03-07,899136.115783047,52900.53742,97
2014-03-08,1032296.56930307,52900.53742,97
2014-03-09,1028105.1228498,52900.53742,97
2014-03-10,785798.386163085,52900.53742,97
2014-03-11,874192.217969307,52900.53742,97
2014-03-12,797834.487809081,52900.53742,97
2014-03-13,757370.531460304,52900.53742,97
2014-03-14,898477.997485628,52900.53742,97
2014-03-15,1016295.52072675,52900.53742,97
2014-03-16,1015200.44152593,52900.53742,97
2014-03-17,801796.85085109,52900.53742,97
2014-03-18,791495.646551831,52900.53742,97
2014-03-19,784058.773657014,52900.53742,97
2014-03-20,846318.307717712,52900.53742,97
2014-03-21,925656.248611392,52900.53742,97
2014-03-22,1031323.43022944,52900.53742,97
2014-03-23,1044658.14018324,52900.53742,97
2014-03-24,802070.117068981,52900.53742,97
2014-03-25,807206.162187318,52900.53742,97
2014-03-26,799505.480331621,52900.53742,97
2014-03-27,813509.496586694,52900.53742,97
2014-03-28,935824.833557061,52900.53742,97
2014-03-29,1036149.19385005,52900.53742,97
2014-03-30,1041726.47845149,52900.53742,97
2014-03-31,837342.287849257,52900.53742,97
2014-04-01,804326.55449234,52900.53742,98.6
2014-04-02,788387.57918719,52900.53742,98.6
2014-04-03,818244.818070317,52900.53742,98.6
2014-04-04,948848.578599615,52900.53742,98.6
2014-04-05,1077929.16107126,52900.53742,98.6
2014-04-06,952747.873053256,52900.53742,98.6
2014-04-07,831320.455522301,52900.53742,98.6
2014-04-08,795165.442114816,52900.53742,98.6
2014-04-09,765950.501103663,52900.53742,98.6
2014-04-10,758192.085566482,52900.53742,98.6
2014-04-11,939124.330820574,52900.53742,98.6
2014-04-12,1036788.97846977,52900.53742,98.6
2014-04-13,1012020.05481761,52900.53742,98.6
2014-04-14,784350.126104019,52900.53742,98.6
2014-04-15,787755.634302135,52900.53742,98.6
2014-04-16,805433.566287857,52900.53742,98.6
2014-04-17,768682.135436686,52900.53742,98.6
2014-04-18,952769.681315189,52900.53742,98.6
2014-04-19,1036400.6068474,52900.53742,98.6
2014-04-20,1223182.48964115,52900.53742,98.6
2014-04-21,965198.128158988,52900.53742,98.6
2014-04-22,1124831.57598733,52900.53742,98.6
2014-04-23,1170479.98644333,52900.53742,98.6
2014-04-24,1189029.87462063,52900.53742,98.6
2014-04-25,1362720.26890149,52900.53742,98.6
2014-04-26,1396168.82691907,52900.53742,98.6
2014-04-27,1363555.29643451,52900.53742,98.6
2014-04-28,992148.992664241,52900.53742,98.6
2014-04-29,996079.836288691,52900.53742,98.6
2014-04-30,1003835.32072206,52900.53742,98.6
2014-05-01,1040257.33372772,52900.53742,97.8
2014-05-02,1038611.8841209,52900.53742,97.8
2014-05-03,1118707.74531476,52900.53742,97.8
2014-05-04,1060819.0528253,52900.53742,97.8
2014-05-05,732059.548201845,52900.53742,97.8
2014-05-06,843185.890654324,52900.53742,97.8
2014-05-07,806399.36180804,52900.53742,97.8
2014-05-08,859827.642253217,52900.53742,97.8
2014-05-09,982467.484910057,52900.53742,97.8
2014-05-10,1277320.47638856,52900.53742,97.8
2014-05-11,1226616.59401567,52900.53742,97.8
2014-05-12,858681.491253969,52900.53742,97.8
2014-05-13,855454.86360396,52900.53742,97.8
2014-05-14,828095.773300387,52900.53742,97.8
2014-05-15,734890.416116513,52900.53742,97.8
2014-05-16,877321.784097271,52900.53742,97.8
2014-05-17,1005335.16640654,52900.53742,97.8
2014-05-18,972552.851746227,52900.53742,97.8
2014-05-19,754560.085252887,52900.53742,97.8
2014-05-20,726124.376209809,52900.53742,97.8
2014-05-21,736211.064503516,52900.53742,97.8
2014-05-22,735883.862101361,52900.53742,97.8
2014-05-23,838238.78003188,52900.53742,97.8
2014-05-24,969115.460399821,52900.53742,97.8
2014-05-25,941701.943983557,52900.53742,97.8
2014-05-26,740460.215856655,52900.53742,97.8
2014-05-27,758836.015986133,52900.53742,97.8
2014-05-28,754429.272637699,52900.53742,97.8
2014-05-29,763256.157404423,52900.53742,97.8
2014-05-30,911314.323396918,52900.53742,97.8
2014-05-31,1094088.61217671,52900.53742,97.8
2014-06-01,1149463.83952576,52900.53742,97.3
2014-06-02,858615.855965259,52900.53742,97.3
2014-06-03,877195.078818309,52900.53742,97.3
2014-06-04,845414.025195769,52900.53742,97.3
2014-06-05,784985.414035657,52900.53742,97.3
2014-06-06,848006.977513042,52900.53742,97.3
2014-06-07,879843.999597493,52900.53742,97.3
2014-06-08,986751.944036428,52900.53742,97.3
2014-06-09,798539.372606572,52900.53742,97.3
2014-06-10,822309.595542834,52900.53742,97.3
2014-06-11,918502.419065409,52900.53742,97.3
2014-06-12,981395.181595041,52900.53742,97.3
2014-06-13,1185262.14513732,52900.53742,97.3
2014-06-14,1287521.12245726,52900.53742,97.3
2014-06-15,1141825.97512125,52900.53742,97.3
2014-06-16,844341.775300791,52900.53742,97.3
2014-06-17,800575.048746106,52900.53742,97.3
2014-06-18,768612.280233986,52900.53742,97.3
2014-06-19,744128.4047548,52900.53742,97.3
2014-06-20,829934.040831137,52900.53742,97.3
2014-06-21,920236.053395222,52900.53742,97.3
2014-06-22,898203.343352402,52900.53742,97.3
2014-06-23,721369.773426013,52900.53742,97.3
2014-06-24,730281.60619492,52900.53742,97.3
2014-06-25,688398.336588374,52900.53742,97.3
2014-06-26,705031.824574932,52900.53742,97.3
2014-06-27,848480.727009831,52900.53742,97.3
2014-06-28,891545.227719732,52900.53742,97.3
2014-06-29,909979.594110409,52900.53742,97.3
2014-06-30,644300.478483297,52900.53742,97.3
2014-07-01,687779.541396272,52900.53742,98.1
2014-07-02,692808.356753494,52900.53742,98.1
2014-07-03,695709.059165001,52900.53742,98.1
2014-07-04,821830.562641536,52900.53742,98.1
2014-07-05,886231.202344168,52900.53742,98.1
2014-07-06,921212.572351137,52900.53742,98.1
2014-07-07,732341.278161212,52900.53742,98.1
2014-07-08,708915.558983937,52900.53742,98.1
2014-07-09,659608.389267724,52900.53742,98.1
2014-07-10,727080.022034297,52900.53742,98.1
2014-07-11,793553.434325382,52900.53742,98.1
2014-07-12,859200.998199717,52900.53742,98.1
2014-07-13,870018.529214774,52900.53742,98.1
2014-07-14,636106.62560575,52900.53742,98.1
2014-07-15,712098.405088122,52900.53742,98.1
2014-07-16,712077.800033422,52900.53742,98.1
2014-07-17,696927.839174959,52900.53742,98.1
2014-07-18,785689.464019451,52900.53742,98.1
2014-07-19,904451.871012769,52900.53742,98.1
2014-07-20,870818.698768634,52900.53742,98.1
2014-07-21,666098.558038044,52900.53742,98.1
2014-07-22,656235.648728553,52900.53742,98.1
2014-07-23,663166.819762591,52900.53742,98.1
2014-07-24,687282.253097103,52900.53742,98.1
2014-07-25,735388.04360279,52900.53742,98.1
2014-07-26,860961.188182328,52900.53742,98.1
2014-07-27,877161.349727759,52900.53742,98.1
2014-07-28,658726.840794299,52900.53742,98.1
2014-07-29,645022.430909536,52900.53742,98.1
2014-07-30,665365.481618359,52900.53742,98.1
2014-07-31,677201.83611814,52900.53742,98.1
2014-08-01,753400.386139544,52900.53742,96.4
2014-08-02,831183.180301619,52900.53742,96.4
2014-08-03,874164.52508121,52900.53742,96.4
2014-08-04,662755.512997181,52900.53742,96.4
2014-08-05,664103.832495566,52900.53742,96.4
2014-08-06,678450.330025938,52900.53742,96.4
2014-08-07,635005.940619368,52900.53742,96.4
2014-08-08,736839.794703474,52900.53742,96.4
2014-08-09,845792.271225496,52900.53742,96.4
2014-08-10,880544.472628479,52900.53742,96.4
2014-08-11,628905.900980217,52900.53742,96.4
2014-08-12,665686.625298138,52900.53742,96.4
2014-08-13,619735.652707037,52900.53742,96.4
2014-08-14,653923.233371147,52900.53742,96.4
2014-08-15,734602.960947996,52900.53742,96.4
2014-08-16,857624.777631459,52900.53742,96.4
2014-08-17,801678.814594023,52900.53742,96.4
2014-08-18,631939.791574658,52900.53742,96.4
2014-08-19,626734.502892126,52900.53742,96.4
2014-08-20,684855.809434498,52900.53742,96.4
2014-08-21,659653.134021923,52900.53742,96.4
2014-08-22,751616.302883019,52900.53742,96.4
2014-08-23,836900.283692356,52900.53742,96.4
2014-08-24,817686.349156009,52900.53742,96.4
2014-08-25,633466.891471012,52900.53742,96.4
2014-08-26,616102.191752308,52900.53742,96.4
2014-08-27,645762.534640455,52900.53742,96.4
2014-08-28,662981.94033178,52900.53742,96.4
2014-08-29,736696.71120626,52900.53742,96.4
2014-08-30,846833.876727902,52900.53742,96.4
2014-08-31,788458.141052441,52900.53742,96.4
2014-09-01,687580.151979113,52900.53742,97.4
2014-09-02,634439.666525919,52900.53742,97.4
2014-09-03,618171.205467942,52900.53742,97.4
2014-09-04,637874.156097114,52900.53742,97.4
2014-09-05,717457.926300966,52900.53742,97.4
2014-09-06,848273.998516487,52900.53742,97.4
2014-09-07,833534.783210141,52900.53742,97.4
2014-09-08,624687.325247355,52900.53742,97.4
2014-09-09,646662.799620873,52900.53742,97.4
