date,value,GPD_per_capita,eu_prod_index
2009-01-01,1416174.4891234916,52722.21306,91.1
2009-01-02,1435101.668318558,52722.21306,91.1
2009-01-03,1398928.3111328918,52722.21306,91.1
2009-01-04,1369492.280307278,52722.21306,91.1
2009-01-05,991415.5783354938,52722.21306,91.1
2009-01-06,911155.8938118152,52722.21306,91.1
2009-01-07,833455.4801223892,52722.21306,91.1
2009-01-08,798086.9188633127,52722.21306,91.1
2009-01-09,845399.1402273417,52722.21306,91.1
2009-01-10,895573.8990933923,52722.21306,91.1
2009-01-11,882811.9210921163,52722.21306,91.1
2009-01-12,695801.031121663,52722.21306,91.1
2009-01-13,690138.3823476775,52722.21306,91.1
2009-01-14,713411.4844503492,52722.21306,91.1
2009-01-15,707594.5605122921,52722.21306,91.1
2009-01-16,860152.9339068505,52722.21306,91.1
2009-01-17,873181.5901618518,52722.21306,91.1
2009-01-18,979885.7098449175,52722.21306,91.1
2009-01-19,756035.0876287883,52722.21306,91.1
2009-01-20,789047.1045170996,52722.21306,91.1
2009-01-21,798845.216117843,52722.21306,91.1
2009-01-22,764302.8245774746,52722.21306,91.1
2009-01-23,840123.3262194032,52722.21306,91.1
2009-01-24,973411.9550352832,52722.21306,91.1
2009-01-25,1009318.8662561803,52722.21306,91.1
2009-01-26,722101.2831996139,52722.21306,91.1
2009-01-27,702236.6002011108,52722.21306,91.1
2009-01-28,748240.1526327003,52722.21306,91.1
2009-01-29,720163.6273845054,52722.21306,91.1
2009-01-30,789131.8551341831,52722.21306,91.1
2009-01-31,922589.4120245732,52722.21306,91.1
2009-02-01,933769.6889313802,52722.21306,89.0
2009-02-02,720208.4792930383,52722.21306,89.0
2009-02-03,722111.7009534426,52722.21306,89.0
2009-02-04,743316.2078405942,52722.21306,89.0
2009-02-05,701827.2606337302,52722.21306,89.0
2009-02-06,823968.2220613318,52722.21306,89.0
2009-02-07,915702.4324728783,52722.21306,89.0
2009-02-08,947089.5975170927,52722.21306,89.0
2009-02-09,725938.3105508201,52722.21306,89.0
2009-02-10,714471.8293102268,52722.21306,89.0
2009-02-11,708873.058984284,52722.21306,89.0
2009-02-12,730929.4589372167,52722.21306,89.0
2009-02-13,826995.7951698615,52722.21306,89.0
2009-02-14,927485.9836510766,52722.21306,89.0
2009-02-15,959697.037846423,52722.21306,89.0
2009-02-16,779906.3443754024,52722.21306,89.0
2009-02-17,680233.1368668992,52722.21306,89.0
2009-02-18,738127.3202664946,52722.21306,89.0
2009-02-19,754680.0357782935,52722.21306,89.0
2009-02-20,832889.7295133497,52722.21306,89.0
2009-02-21,971122.5792385846,52722.21306,89.0
2009-02-22,923130.8552310816,52722.21306,89.0
2009-02-23,706527.6846038654,52722.21306,89.0
2009-02-24,699042.7650592751,52722.21306,89.0
2009-02-25,722681.6415288415,52722.21306,89.0
2009-02-26,710126.6035879588,52722.21306,89.0
2009-02-27,830772.8233927056,52722.21306,89.0
2009-02-28,966828.1438980789,52722.21306,89.0
2009-03-01,933674.9638643353,52722.21306,87.9
2009-03-02,715919.8759916138,52722.21306,87.9
2009-03-03,718739.1315138853,52722.21306,87.9
2009-03-04,691072.6660291797,52722.21306,87.9
2009-03-05,734866.7253303055,52722.21306,87.9
2009-03-06,810564.418014198,52722.21306,87.9
2009-03-07,962529.422123919,52722.21306,87.9
2009-03-08,967751.0303069898,52722.21306,87.9
2009-03-09,723926.7205526397,52722.21306,87.9
