date,value,GPD_per_capita,eu_prod_index
1/1/09,1416174.489,52722.21306,91.1
1/2/09,1435101.668,52722.21306,91.1
1/3/09,1398928.311,52722.21306,91.1
1/4/09,1369492.28,52722.21306,91.1
1/5/09,991415.5783,52722.21306,91.1
1/6/09,911155.8938,52722.21306,91.1
1/7/09,833455.4801,52722.21306,91.1
1/8/09,798086.9189,52722.21306,91.1
1/9/09,845399.1402,52722.21306,91.1
1/10/09,895573.8991,52722.21306,91.1
1/11/09,882811.9211,52722.21306,91.1
1/12/09,695801.0311,52722.21306,91.1
1/13/09,690138.3823,52722.21306,91.1
1/14/09,713411.4845,52722.21306,91.1
1/15/09,707594.5605,52722.21306,91.1
1/16/09,860152.9339,52722.21306,91.1
1/17/09,873181.5902,52722.21306,91.1
1/18/09,979885.7098,52722.21306,91.1
1/19/09,756035.0876,52722.21306,91.1
1/20/09,789047.1045,52722.21306,91.1
1/21/09,798845.2161,52722.21306,91.1
1/22/09,764302.8246,52722.21306,91.1
1/23/09,840123.3262,52722.21306,91.1
1/24/09,973411.955,52722.21306,91.1
1/25/09,1009318.866,52722.21306,91.1
1/26/09,722101.2832,52722.21306,91.1
1/27/09,702236.6002,52722.21306,91.1
1/28/09,748240.1526,52722.21306,91.1
1/29/09,720163.6274,52722.21306,91.1
1/30/09,789131.8551,52722.21306,91.1
1/31/09,922589.412,52722.21306,91.1
2/1/09,933769.6889,52722.21306,89
2/2/09,720208.4793,52722.21306,89
2/3/09,722111.701,52722.21306,89
2/4/09,743316.2078,52722.21306,89
2/5/09,701827.2606,52722.21306,89
2/6/09,823968.2221,52722.21306,89
2/7/09,915702.4325,52722.21306,89
2/8/09,947089.5975,52722.21306,89
2/9/09,725938.3106,52722.21306,89
2/10/09,714471.8293,52722.21306,89
2/11/09,708873.059,52722.21306,89
2/12/09,730929.4589,52722.21306,89
2/13/09,826995.7952,52722.21306,89
2/14/09,927485.9837,52722.21306,89
2/15/09,959697.0378,52722.21306,89
2/16/09,779906.3444,52722.21306,89
2/17/09,680233.1369,52722.21306,89
2/18/09,738127.3203,52722.21306,89
2/19/09,754680.0358,52722.21306,89
2/20/09,832889.7295,52722.21306,89
2/21/09,971122.5792,52722.21306,89
2/22/09,923130.8552,52722.21306,89
2/23/09,706527.6846,52722.21306,89
2/24/09,699042.7651,52722.21306,89
2/25/09,722681.6415,52722.21306,89
2/26/09,710126.6036,52722.21306,89
2/27/09,830772.8234,52722.21306,89
2/28/09,966828.1439,52722.21306,89
3/1/09,933674.9639,52722.21306,87.9
3/2/09,715919.876,52722.21306,87.9
3/3/09,718739.1315,52722.21306,87.9
3/4/09,691072.666,52722.21306,87.9
3/5/09,734866.7253,52722.21306,87.9
3/6/09,810564.418,52722.21306,87.9
3/7/09,962529.4221,52722.21306,87.9
3/8/09,967751.0303,52722.21306,87.9
3/9/09,723926.7206,52722.21306,87.9
3/10/09,671045.807,52722.21306,87.9
3/11/09,697626.4475,52722.21306,87.9
3/12/09,742426.8193,52722.21306,87.9
3/13/09,862216.108,52722.21306,87.9
3/14/09,929385.0778,52722.21306,87.9
3/15/09,917909.5964,52722.21306,87.9
3/16/09,703778.9389,52722.21306,87.9
3/17/09,708897.5889,52722.21306,87.9
3/18/09,756953.1338,52722.21306,87.9
3/19/09,723470.9322,52722.21306,87.9
3/20/09,806895.7859,52722.21306,87.9
3/21/09,980569.8654,52722.21306,87.9
3/22/09,920479.4001,52722.21306,87.9
3/23/09,706431.9618,52722.21306,87.9
3/24/09,672671.3234,52722.21306,87.9
3/25/09,670720.9511,52722.21306,87.9
3/26/09,728320.0269,52722.21306,87.9
3/27/09,829482.5897,52722.21306,87.9
3/28/09,863647.9232,52722.21306,87.9
3/29/09,972015.3505,52722.21306,87.9
3/30/09,676102.8822,52722.21306,87.9
3/31/09,736892.1304,52722.21306,87.9
4/1/09,665096.4472,52722.21306,86.7
4/2/09,691360.15,52722.21306,86.7
4/3/09,821690.4938,52722.21306,86.7
4/4/09,908819.7673,52722.21306,86.7
4/5/09,940705.4948,52722.21306,86.7
4/6/09,746573.8276,52722.21306,86.7
4/7/09,705884.3622,52722.21306,86.7
4/8/09,680102.9462,52722.21306,86.7
4/9/09,687603.738,52722.21306,86.7
4/10/09,803012.0082,52722.21306,86.7
4/11/09,932121.9907,52722.21306,86.7
4/12/09,979182.7278,52722.21306,86.7
4/13/09,854041.5553,52722.21306,86.7
4/14/09,961499.2782,52722.21306,86.7
4/15/09,1061450.959,52722.21306,86.7
4/16/09,1079881.565,52722.21306,86.7
4/17/09,1096656.934,52722.21306,86.7
4/18/09,1256849.749,52722.21306,86.7
4/19/09,1168706.911,52722.21306,86.7
4/20/09,762573.2199,52722.21306,86.7
4/21/09,730184.1105,52722.21306,86.7
4/22/09,699961.9214,52722.21306,86.7
4/23/09,691382.8361,52722.21306,86.7
4/24/09,793880.5562,52722.21306,86.7
4/25/09,908416.8951,52722.21306,86.7
4/26/09,894231.3344,52722.21306,86.7
4/27/09,670355.2515,52722.21306,86.7
4/28/09,710720.8003,52722.21306,86.7
4/29/09,678936.2183,52722.21306,86.7
4/30/09,718711.0182,52722.21306,86.7
5/1/09,839503.4295,52722.21306,88.7
5/2/09,1005075.347,52722.21306,88.7
5/3/09,1106751.313,52722.21306,88.7
5/4/09,838151.5564,52722.21306,88.7
5/5/09,857461.9312,52722.21306,88.7
5/6/09,862272.9309,52722.21306,88.7
5/7/09,803946.9617,52722.21306,88.7
5/8/09,966184.9379,52722.21306,88.7
5/9/09,1106378.678,52722.21306,88.7
5/10/09,1089990.505,52722.21306,88.7
5/11/09,771951.2985,52722.21306,88.7
5/12/09,746028.282,52722.21306,88.7
5/13/09,697442.4199,52722.21306,88.7
5/14/09,653761.8496,52722.21306,88.7
5/15/09,774782.3031,52722.21306,88.7
5/16/09,916273.4372,52722.21306,88.7
5/17/09,887261.8695,52722.21306,88.7
5/18/09,729393.5919,52722.21306,88.7
5/19/09,648951.9867,52722.21306,88.7
5/20/09,688103.1474,52722.21306,88.7
5/21/09,688756.9005,52722.21306,88.7
5/22/09,797780.9709,52722.21306,88.7
5/23/09,1031699.855,52722.21306,88.7
5/24/09,1031772.348,52722.21306,88.7
5/25/09,779334.1835,52722.21306,88.7
5/26/09,828752.1273,52722.21306,88.7
5/27/09,776145.7434,52722.21306,88.7
5/28/09,719540.7721,52722.21306,88.7
5/29/09,804748.7388,52722.21306,88.7
5/30/09,879108.3011,52722.21306,88.7
5/31/09,846499.0326,52722.21306,88.7
6/1/09,742949.2839,52722.21306,89.3
6/2/09,789770.2085,52722.21306,89.3
6/3/09,873182.2043,52722.21306,89.3
6/4/09,935326.4639,52722.21306,89.3
6/5/09,1018754.41,52722.21306,89.3
6/6/09,1192698.737,52722.21306,89.3
6/7/09,1075455.77,52722.21306,89.3
6/8/09,756240.023,52722.21306,89.3
6/9/09,689031.1937,52722.21306,89.3
6/10/09,684732.3119,52722.21306,89.3
6/11/09,617641.1025,52722.21306,89.3
6/12/09,773850.2757,52722.21306,89.3
6/13/09,837306.3187,52722.21306,89.3
6/14/09,844914.8355,52722.21306,89.3
6/15/09,667897.8871,52722.21306,89.3
6/16/09,655173.8136,52722.21306,89.3
6/17/09,665904.4027,52722.21306,89.3
6/18/09,628981.2112,52722.21306,89.3
