Trial,refitting_cycle,process_time_s,real_time_s,params,note
0,,0.5341820000000013,0.2785756587982178,"{'standardize_X': False, 'alpha_1': 24.658329458549105, 'alpha_2': 3.907967156822881, 'lambda_1': 10, 'lambda_2': 1e-06, 'threshold_lambda': 100.0}",successful
1,,0.39915500000000037,0.22763395309448242,"{'standardize_X': True, 'alpha_1': 1.2173252504194043, 'alpha_2': 3.584985580340472, 'lambda_1': 0.1, 'lambda_2': 1, 'threshold_lambda': 100.0}",successful
2,,0.9512869999999971,0.41236209869384766,"{'standardize_X': True, 'alpha_1': 433.5045392775131, 'alpha_2': 233.86439256208715, 'lambda_1': 1e-05, 'lambda_2': 10, 'threshold_lambda': 100000.0}",successful
3,,0.7752440000000007,0.5253250598907471,"{'standardize_X': False, 'alpha_1': 0.0027814285643757543, 'alpha_2': 0.14151235919053706, 'lambda_1': 1e-05, 'lambda_2': 1e-05, 'threshold_lambda': 1000.0}",successful
4,,1.6950719999999997,0.6697368621826172,"{'standardize_X': False, 'alpha_1': 0.0769371131264886, 'alpha_2': 1.1257038385269003, 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'threshold_lambda': 1000.0}",successful
5,,0.43752699999999933,0.22299909591674805,"{'standardize_X': False, 'alpha_1': 146.01030210159487, 'alpha_2': 0.0011008110571039537, 'lambda_1': 0.1, 'lambda_2': 0.0001, 'threshold_lambda': 1000.0}",successful
6,,1.4207560000000008,0.5647702217102051,"{'standardize_X': True, 'alpha_1': 0.007402343469704424, 'alpha_2': 0.8644035895206822, 'lambda_1': 1e-06, 'lambda_2': 0.001, 'threshold_lambda': 100.0}",successful
7,,0.5394329999999989,0.2543659210205078,"{'standardize_X': False, 'alpha_1': 0.20912794881839666, 'alpha_2': 417.2342315150445, 'lambda_1': 0.001, 'lambda_2': 0.1, 'threshold_lambda': 10000.0}",successful
8,,0.4339580000000005,0.22381067276000977,"{'standardize_X': True, 'alpha_1': 0.00932765091952873, 'alpha_2': 246.2210228732004, 'lambda_1': 10, 'lambda_2': 10, 'threshold_lambda': 100.0}",successful
9,,1.5523270000000018,0.6328849792480469,"{'standardize_X': False, 'alpha_1': 0.22834228779494523, 'alpha_2': 225.05016260408257, 'lambda_1': 1e-05, 'lambda_2': 0.01, 'threshold_lambda': 10000.0}",successful
10,,0.5127390000000034,0.2595992088317871,"{'standardize_X': True, 'alpha_1': 395.7429436125044, 'alpha_2': 62.67451393938094, 'lambda_1': 0.01, 'lambda_2': 10, 'threshold_lambda': 100000.0}",successful
11,,1.216901,0.5069541931152344,"{'standardize_X': True, 'alpha_1': 5.552661041119787, 'alpha_2': 735.1592336090034, 'lambda_1': 1e-05, 'lambda_2': 0.01, 'threshold_lambda': 10000.0}",successful
12,,0.7193679999999993,0.3249969482421875,"{'standardize_X': True, 'alpha_1': 894.5517122509359, 'alpha_2': 63.66345362509949, 'lambda_1': 1e-05, 'lambda_2': 0.01, 'threshold_lambda': 1000000.0}",successful
13,,0.7478519999999982,0.5130112171173096,"{'standardize_X': False, 'alpha_1': 34.24947612580218, 'alpha_2': 36.659982151027954, 'lambda_1': 0.0001, 'lambda_2': 0.01, 'threshold_lambda': 100000.0}",successful
14,,0.37850899999999754,0.3177320957183838,"{'standardize_X': False, 'alpha_1': 1.1399014305269213, 'alpha_2': 920.163169472172, 'lambda_1': 1, 'lambda_2': 10, 'threshold_lambda': 10000.0}",successful
15,,0.5105840000000015,0.3318967819213867,"{'standardize_X': True, 'alpha_1': 4.637107109565815, 'alpha_2': 31.574733845624618, 'lambda_1': 1e-05, 'lambda_2': 0.0001, 'threshold_lambda': 100000.0}",successful
16,,1.2335670000000007,0.7942929267883301,"{'standardize_X': True, 'alpha_1': 0.0913308617378829, 'alpha_2': 134.66225115640904, 'lambda_1': 1e-05, 'lambda_2': 1, 'threshold_lambda': 1000000.0}",successful
