y_pred_test,y_true_test,test_mse,test_rmse,test_r2_score,test_explained_variance,test_MAPE,test_sMAPE,base_model_path
1019390.9376087169,1189234.5109999999,12021514915.2013626099,109642.6692269089,0.7665062545,0.7665241504,9.1909198704,8.9399558468,/Users/ge35tuv/Desktop/ForeTiS/docs/source/tutorials/tutorial_data/results/ard/2023-10-17_12-35-47_featureset-full_timeseries-cv_True_20_20
1114709.9854106065,1185445.2420000001,,,,,,,
1099897.4111635338,951906.0130000000,,,,,,,
845702.9402928676,914993.4956000000,,,,,,,
875129.4271745104,857426.0510000000,,,,,,,
905410.4235277273,788643.3415000000,,,,,,,
863817.4669079663,865114.6260000000,,,,,,,
901795.3178942420,981349.3229000000,,,,,,,
948475.7743642739,986851.9026000000,,,,,,,
935469.1587629464,762728.8669000000,,,,,,,
690615.4998289836,716678.8327000000,,,,,,,
710985.3762104968,768733.7195000000,,,,,,,
848396.2554984548,744050.9020000000,,,,,,,
842204.6154282587,901330.4620000001,,,,,,,
946288.6685408915,1043785.3490000000,,,,,,,
1009263.9511296650,1037622.4990000000,,,,,,,
977726.6534653370,802308.7898000000,,,,,,,
723001.5592068061,779600.6411000000,,,,,,,
769878.2285596911,740286.6392000000,,,,,,,
820087.0005344343,747474.0672000000,,,,,,,
852052.0524207890,891153.4337000001,,,,,,,
949409.7055601150,1011519.7290000001,,,,,,,
990082.7598181277,982960.5413000000,,,,,,,
940328.2225891072,786152.0098999999,,,,,,,
726271.1434147819,823862.5721000000,,,,,,,
829000.2996931621,744935.5572000000,,,,,,,
831026.4275066764,760638.3292000000,,,,,,,
867727.9687615598,903476.3925000000,,,,,,,
972352.7388622980,1079241.5970000001,,,,,,,
1063493.0855661107,1032766.1400000000,,,,,,,
989362.7072446869,820210.1875000000,,,,,,,
754500.1084927020,768145.9098000000,,,,,,,
771671.4410205572,786964.7463000000,,,,,,,
875039.9652264449,822075.9420000000,,,,,,,
927800.7671674193,924618.0834999999,,,,,,,
974408.3522132006,1068610.2309999999,,,,,,,
1035653.8467154547,1037679.1560000000,,,,,,,
982137.3085541674,812743.3909000000,,,,,,,
736478.3322277614,803861.9203000000,,,,,,,
795005.5160553881,781955.7008000000,,,,,,,
857027.2232768036,786460.7483000000,,,,,,,
881150.7667836819,909897.8029000000,,,,,,,
955658.0029302534,968339.6120000000,,,,,,,
937257.7915077817,1070670.4250000000,,,,,,,
1019693.7651714239,790330.6466000000,,,,,,,
718674.5065487252,769054.1729000000,,,,,,,
760586.5707020048,803578.0191000000,,,,,,,
885241.0200190754,795999.8602999999,,,,,,,
895990.0198449362,904118.3121000000,,,,,,,
953800.1172673600,1073275.3089999999,,,,,,,
1046064.0082102228,989172.6495000001,,,,,,,
942080.9055402514,834119.7778000000,,,,,,,
769339.8527205859,801455.6928000000,,,,,,,
806364.4134355438,832152.8256000000,,,,,,,
917237.0276627083,781375.7162000000,,,,,,,
887463.8793976854,919629.1322000000,,,,,,,
977021.4328487508,1079578.3550000000,,,,,,,
1059329.3075556695,1074372.2640000000,,,,,,,
1026712.5205884067,802551.9921000000,,,,,,,
732579.6353527834,837440.7260000000,,,,,,,
834976.6758554808,757224.8867000000,,,,,,,
840632.4560308518,821825.0309000000,,,,,,,
922832.8236358949,899136.1158000000,,,,,,,
951418.4417336835,1032296.5690000000,,,,,,,
1001866.5181621516,1028105.1230000000,,,,,,,
977297.3925329570,785798.3861999999,,,,,,,
713507.8322517517,874192.2180000000,,,,,,,
864731.3372029936,797834.4878000000,,,,,,,
867225.4406856920,757370.5315000000,,,,,,,
844266.2041592435,898477.9975000001,,,,,,,
944684.4338247745,1016295.5209999999,,,,,,,
985827.1680484295,1015200.4420000000,,,,,,,
961899.7545223736,801796.8509000000,,,,,,,
729196.2504833062,791495.6466000000,,,,,,,
784935.5236965403,784058.7737000000,,,,,,,
862251.9126497854,846318.3077000000,,,,,,,
942934.5377354145,925656.2486000000,,,,,,,
970569.1766821225,1031323.4300000001,,,,,,,
998099.7567654802,1044658.1400000000,,,,,,,
996087.5338235419,802070.1171000000,,,,,,,
736129.7904521781,807206.1622000000,,,,,,,
808613.3629039979,799505.4803000001,,,,,,,
887025.9207286434,813509.4966000000,,,,,,,
919597.8713760769,935824.8336000000,,,,,,,
992112.2114602642,1036149.1940000000,,,,,,,
1013761.9439280620,1041726.4780000000,,,,,,,
999328.9983614642,837342.2878000000,,,,,,,
772927.7130062955,804326.5545000000,,,,,,,
803880.1430279159,788387.5792000000,,,,,,,
872112.9564626502,818244.8181000000,,,,,,,
921790.3528959138,948848.5786000000,,,,,,,
999338.0103295947,1077929.1610000001,,,,,,,
1044358.8736073507,952747.8731000000,,,,,,,
898980.9746390482,831320.4555000000,,,,,,,
762380.9625075459,795165.4421000000,,,,,,,
793386.5330678480,765950.5011000000,,,,,,,
840893.6918294773,758192.0856000000,,,,,,,
855525.4632716562,939124.3308000000,,,,,,,
986149.7750584369,1036788.9780000000,,,,,,,
1000398.1676360985,1012020.0550000001,,,,,,,
950889.9873380340,784350.1261000000,,,,,,,
707348.5696402041,787755.6343000000,,,,,,,
778662.8719210759,805433.5662999999,,,,,,,
879254.6527983407,768682.1354000000,,,,,,,
860446.3274644100,952769.6813000001,,,,,,,
994787.4375491578,1036400.6070000000,,,,,,,
1000148.1965893876,1223182.4900000000,,,,,,,
1157231.5081798430,965198.1282000000,,,,,,,
868831.5010856797,1124831.5759999999,,,,,,,
1075855.1837531701,1170479.9860000000,,,,,,,
1193454.0501693704,1189029.8750000000,,,,,,,
1212309.1255996502,1362720.2690000001,,,,,,,
1329758.3793359711,1396168.8270000000,,,,,,,
1282953.1949075644,1363555.2960000001,,,,,,,
1234159.4436830890,992148.9926999999,,,,,,,
860083.1410564195,996079.8363000000,,,,,,,
946030.5336490163,1003835.3210000000,,,,,,,
1038050.5920911275,1040257.3340000000,,,,,,,
1089221.5443551838,1038611.8840000000,,,,,,,
1037427.2138557000,1118707.7450000001,,,,,,,
1047057.0811150584,1060819.0530000001,,,,,,,
982958.4121772370,732059.5482000000,,,,,,,
645530.1035466937,843185.8907000000,,,,,,,
830756.6441538914,806399.3618000000,,,,,,,
876263.0963757385,859827.6422999999,,,,,,,
936948.8274055711,982467.4849000000,,,,,,,
1006334.7727975766,1277320.4760000000,,,,,,,
1209443.7414790643,1226616.5940000000,,,,,,,
1121952.5193431508,858681.4913000000,,,,,,,
727518.9371438432,855454.8636000000,,,,,,,
806670.5416819426,828095.7733000000,,,,,,,
876424.3660383648,734890.4161000000,,,,,,,
807270.9450998285,877321.7841000000,,,,,,,
910008.9193723880,1005335.1660000000,,,,,,,
966265.0583017557,972552.8517000000,,,,,,,
911488.0030506081,754560.0853000000,,,,,,,
676883.3334271237,726124.3762000001,,,,,,,
718929.4468495003,736211.0645000000,,,,,,,
815510.6820172914,735883.8621000000,,,,,,,
836313.5997899882,838238.7800000000,,,,,,,
890231.2017862818,969115.4604000000,,,,,,,
945516.4896323312,941701.9440000000,,,,,,,
899817.1344578592,740460.2159000000,,,,,,,
680697.6617951106,758836.0159999999,,,,,,,
765423.3316422465,754429.2726000000,,,,,,,
841566.5197564051,763256.1574000000,,,,,,,
867055.3481492816,911314.3234000000,,,,,,,
963813.7974747693,1094088.6120000000,,,,,,,
1049722.5894985758,1149463.8400000001,,,,,,,
1072759.7774769394,858615.8560000000,,,,,,,
753140.7534751669,877195.0788000000,,,,,,,
836373.1945857460,845414.0252000000,,,,,,,
891961.6650402100,784985.4140000000,,,,,,,
851180.2577911997,848006.9775000000,,,,,,,
872951.3881982579,879843.9996000000,,,,,,,
838451.1480216192,986751.9440000000,,,,,,,
930994.5301573048,798539.3726000000,,,,,,,
718185.7796942744,822309.5955000001,,,,,,,
792229.9317150420,918502.4191000001,,,,,,,
961316.7369975353,981395.1816000000,,,,,,,
1027746.7822911546,1185262.1450000000,,,,,,,
1163418.1335040806,1287521.1220000000,,,,,,,
1174341.3869643006,1141825.9750000001,,,,,,,
1006780.9498065780,844341.7753000000,,,,,,,
707256.1971092166,800575.0487000000,,,,,,,
751020.1719204115,768612.2802000000,,,,,,,
815027.9936119168,744128.4048000000,,,,,,,
817285.0065528807,829934.0408000000,,,,,,,
860964.1486289351,920236.0534000000,,,,,,,
880832.5927315525,898203.3434000000,,,,,,,
845592.3403373181,721369.7733999999,,,,,,,
653467.6673757365,730281.6062000000,,,,,,,
726979.7882333995,688398.3366000000,,,,,,,
766474.4287760953,705031.8246000001,,,,,,,
804548.9670201542,848480.7270000000,,,,,,,
900508.7784773412,891545.2277000000,,,,,,,
865295.6483541807,909979.5941000000,,,,,,,
866816.7867784859,644300.4785000000,,,,,,,
579780.1437501005,687779.5414000000,,,,,,,
688633.2279573656,692808.3568000000,,,,,,,
775664.3205205825,695709.0592000000,,,,,,,
790677.1383627002,821830.5625999999,,,,,,,
864452.0903316051,886231.2023000000,,,,,,,
850099.3579968793,921212.5723999999,,,,,,,
864933.8012909436,732341.2781999999,,,,,,,
654915.4961458589,708915.5590000000,,,,,,,
689842.7240310096,659608.3893000000,,,,,,,
722938.6476012978,727080.0220000000,,,,,,,
810569.8268314330,793553.4343000000,,,,,,,
826187.3674546041,859200.9982000000,,,,,,,
813168.6271831309,870018.5292000000,,,,,,,
811020.5969880298,636106.6256000000,,,,,,,
561156.8619560765,712098.4051000000,,,,,,,
699635.1298486262,712077.8000000000,,,,,,,
777256.3634348997,696927.8392000000,,,,,,,
774294.9773540766,785689.4640000000,,,,,,,
816623.5455240039,904451.8710000000,,,,,,,
862379.9418068319,870818.6988000000,,,,,,,
812919.5745119381,666098.5580000000,,,,,,,
592359.7949966772,656235.6487000000,,,,,,,
651397.3853590158,663166.8198000001,,,,,,,
742194.9527081308,687282.2531000000,,,,,,,
785081.9277131418,735388.0436000000,,,,,,,
784747.2709162834,860961.1882000000,,,,,,,
837293.8889433175,877161.3497000000,,,,,,,
838439.7610003758,658726.8408000000,,,,,,,
598811.7605382472,645022.4309000000,,,,,,,
649698.1129625454,665365.4816000001,,,,,,,
753382.1984237771,677201.8361000000,,,,,,,
772520.0477065522,753400.3861000000,,,,,,,
796982.8060701387,831183.1803000000,,,,,,,
799903.5915916007,874164.5251000000,,,,,,,
826268.1250520020,662755.5130000000,,,,,,,
593027.1127626172,664103.8325000000,,,,,,,
653240.6364733793,678450.3300000000,,,,,,,
747289.7087425847,635005.9406000000,,,,,,,
720069.0889362697,736839.7947000000,,,,,,,
773462.7051052495,845792.2712000000,,,,,,,
808216.0233313607,880544.4726000000,,,,,,,
821222.9893808927,628905.9010000000,,,,,,,
547356.9054033759,665686.6253000000,,,,,,,
646565.3143219411,619735.6527000000,,,,,,,
684077.7810029357,653923.2334000000,,,,,,,
735144.5761607082,734602.9608999999,,,,,,,
768387.3863423571,857624.7776000000,,,,,,,
813613.7573652931,801678.8146000000,,,,,,,
742238.8539919908,631939.7916000000,,,,,,,
556288.3472981225,626734.5029000000,,,,,,,
618202.3927015413,684855.8094000000,,,,,,,
754401.5177909584,659653.1340000000,,,,,,,
744801.7476593181,751616.3029000000,,,,,,,
786631.1176901052,836900.2837000000,,,,,,,
801294.0818043158,817686.3492000001,,,,,,,
768626.0245140244,633466.8915000000,,,,,,,
569418.4196410625,616102.1918000000,,,,,,,
617760.5067199223,645762.5346000000,,,,,,,
728634.1253468764,662981.9403000000,,,,,,,
762671.4146965065,736696.7112000000,,,,,,,
784484.2613062361,846833.8767000000,,,,,,,
819291.4997047262,788458.1411000000,,,,,,,
748472.2569550731,687580.1520000000,,,,,,,
628572.8374858215,634439.6665000001,,,,,,,
636297.0138202640,618171.2055000000,,,,,,,
696439.0344445606,637874.1561000000,,,,,,,
737941.3115040517,717457.9263000001,,,,,,,
767181.3391581379,848273.9985000000,,,,,,,
819235.2645382736,833534.7831999999,,,,,,,
784422.5061227677,624687.3252000000,,,,,,,
